Outputs and IO coefficients for all refining technologies (inputs will be calculated by the model),,,,,,,,,,,,,,,
"Changes tech attributes of the existing (2005) vintage only. This file is read in AFTER the ref liquids input file, so it over-writes whatever was set in that file.",,,,,,,,,,,,,,,
"The output of refineries needs to be disaggregated to the different refining ""sectors""",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Calibrate output from refined liquids electricity,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,
23,,,,CalDataOutput,,,,,,,,,,,
,,,,calOutputValue,,subsector sharewt,,tech sharewt,,,,,,,
Middle East,refined liquids enduse,crude oil refining,crude oil refining,wholesale gas,0.037148745,0.057615052,,,,,,,,,8
Africa,refined liquids enduse,crude oil refining,crude oil refining,wholesale gas,0.006673088,0.003748271,,,,,,,,,9
Latin America,refined liquids enduse,crude oil refining,crude oil refining,wholesale gas,0.01410658,0.019455593,,,,,,,,,10
Southeast Asia,refined liquids enduse,crude oil refining,crude oil refining,wholesale gas,0.007735379,0.002546626,,,,,,,,,11
Eastern Europe,refined liquids enduse,crude oil refining,crude oil refining,wholesale gas,0.006987363,0.021474803,,,,,,,,,12
Korea,refined liquids enduse,crude oil refining,crude oil refining,wholesale gas,0.00001,0.00001,,,,,,,,,13
India,refined liquids enduse,crude oil refining,crude oil refining,wholesale gas,0.00001,0.00001,,,,,,,,,14
USA,refined liquids enduse,crude oil refining,crude oil refining,elect_td_ind,0.003709561,0.004533924,,,,,,,,,1
Canada,refined liquids enduse,crude oil refining,crude oil refining,elect_td_ind,0.006489083,0.00581206,,,,,,,,,2
Western Europe,refined liquids enduse,crude oil refining,crude oil refining,elect_td_ind,0.003294746,0.004745874,,,,,,,,,3
Japan,refined liquids enduse,crude oil refining,crude oil refining,elect_td_ind,0.002516595,0.004163502,,,,,,,,,4
Australia_NZ,refined liquids enduse,crude oil refining,crude oil refining,elect_td_ind,0.002718078,0.00369078,,,,,,,,,5
Former Soviet Union,refined liquids enduse,crude oil refining,crude oil refining,elect_td_ind,0.004016581,0.010165982,,,,,,,,,6
China,refined liquids enduse,crude oil refining,crude oil refining,elect_td_ind,0.006494788,0.008332161,,,,,,,,,7
Middle East,refined liquids enduse,crude oil refining,crude oil refining,elect_td_ind,0.007979599,0.008019504,,,,,,,,,8
Africa,refined liquids enduse,crude oil refining,crude oil refining,elect_td_ind,0.000245663,0.00555022,,,,,,,,,9
Latin America,refined liquids enduse,crude oil refining,crude oil refining,elect_td_ind,0.000399434,0.001595078,,,,,,,,,10
Southeast Asia,refined liquids enduse,crude oil refining,crude oil refining,elect_td_ind,0.001576595,0.001770574,,,,,,,,,11
Eastern Europe,refined liquids enduse,crude oil refining,crude oil refining,elect_td_ind,0.003593576,0.005363362,,,,,,,,,12
Korea,refined liquids enduse,crude oil refining,crude oil refining,elect_td_ind,0.00001,0.00001,,,,,,,,,13
India,refined liquids enduse,crude oil refining,crude oil refining,elect_td_ind,0.00001,0.00001,,,,,,,,,14
USA,refined liquids enduse,coal to liquids,coal to liquids,regional coal,1,1,,,,,,,,,1
Canada,refined liquids enduse,coal to liquids,coal to liquids,regional coal,1,1,,,,,,,,,2
Western Europe,refined liquids enduse,coal to liquids,coal to liquids,regional coal,1,1,,,,,,,,,3
Japan,refined liquids enduse,coal to liquids,coal to liquids,regional coal,1,1,,,,,,,,,4
Australia_NZ,refined liquids enduse,coal to liquids,coal to liquids,regional coal,1,1,,,,,,,,,5
Former Soviet Union,refined liquids enduse,coal to liquids,coal to liquids,regional coal,1.373253493,1.068341121,,,,,,,,,6
China,refined liquids enduse,coal to liquids,coal to liquids,regional coal,1,1,,,,,,,,,7
Middle East,refined liquids enduse,coal to liquids,coal to liquids,regional coal,1,1,,,,,,,,,8
Africa,refined liquids enduse,coal to liquids,coal to liquids,regional coal,2.981971843,2.423998554,,,,,,,,,9
Latin America,refined liquids enduse,coal to liquids,coal to liquids,regional coal,1,1,,,,,,,,,10
Southeast Asia,refined liquids enduse,coal to liquids,coal to liquids,regional coal,1,1,,,,,,,,,11
Eastern Europe,refined liquids enduse,coal to liquids,coal to liquids,regional coal,1,1,,,,,,,,,12
Korea,refined liquids enduse,coal to liquids,coal to liquids,regional coal,1,1,,,,,,,,,13
India,refined liquids enduse,coal to liquids,coal to liquids,regional coal,1,1,,,,,,,,,14
,,,,,,,,,,,,,,,
Refined liquids industrial - output,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,
23,,,,CalDataOutput,,,,,,,,,,,
,,,,calOutputValue,,subsector sharewt,,tech sharewt,,,,,,,
region,supplysector,subsector,technology,1990,2005,1990,2005,1990,2005,,,,,,Region ID
USA,refined liquids industrial,crude oil refining,crude oil refining,6.904757516,8.419897634,1,1,1,1,,,,,,1
Canada,refined liquids industrial,crude oil refining,crude oil refining,0.857029586,1.225107922,1,1,1,1,,,,,,2
Western Europe,refined liquids industrial,crude oil refining,crude oil refining,6.556275508,7.127978311,1,1,1,1,,,,,,3
Japan,refined liquids industrial,crude oil refining,crude oil refining,3.478715824,3.440561515,1,1,1,1,,,,,,4
Australia_NZ,refined liquids industrial,crude oil refining,crude oil refining,0.348609715,0.457968931,1,1,1,1,,,,,,5
Former Soviet Union,refined liquids industrial,crude oil refining,crude oil refining,4.465273526,2.362651521,1,1,1,1,,,,,,6
China,refined liquids industrial,crude oil refining,crude oil refining,2.418110722,6.009457054,1,1,1,1,,,,,,7
Middle East,refined liquids industrial,crude oil refining,crude oil refining,1.567165295,2.74643613,1,1,1,1,,,,,,8
Africa,refined liquids industrial,crude oil refining,crude oil refining,0.867058116,1.019990982,1,1,1,1,,,,,,9
Latin America,refined liquids industrial,crude oil refining,crude oil refining,2.445852,3.053597541,1,1,1,1,,,,,,10
Southeast Asia,refined liquids industrial,crude oil refining,crude oil refining,1.675984414,3.023120808,1,1,1,1,,,,,,11
Eastern Europe,refined liquids industrial,crude oil refining,crude oil refining,1.355301052,0.971950449,1,1,1,1,,,,,,12
Korea,refined liquids industrial,crude oil refining,crude oil refining,0.794319696,1.84633579,1,1,1,1,,,,,,13
India,refined liquids industrial,crude oil refining,crude oil refining,0.723273887,2.074417049,1,1,1,1,,,,,,14
USA,refined liquids industrial,coal to liquids,coal to liquids,0,0,0,0,0,0,,,,,,1
Canada,refined liquids industrial,coal to liquids,coal to liquids,0,0,0,0,0,0,,,,,,2
Western Europe,refined liquids industrial,coal to liquids,coal to liquids,0,0,0,0,0,0,,,,,,3
Japan,refined liquids industrial,coal to liquids,coal to liquids,0,0,0,0,0,0,,,,,,4
Australia_NZ,refined liquids industrial,coal to liquids,coal to liquids,0,0,0,0,0,0,,,,,,5
Former Soviet Union,refined liquids industrial,coal to liquids,coal to liquids,0.001418565,0.005076689,1,1,1,1,,,,,,6
China,refined liquids industrial,coal to liquids,coal to liquids,0,0,0,0,0,0,,,,,,7
Middle East,refined liquids industrial,coal to liquids,coal to liquids,0,0,0,0,0,0,,,,,,8
Africa,refined liquids industrial,coal to liquids,coal to liquids,0.053753181,0.065177337,1,1,1,1,,,,,,9
Latin America,refined liquids industrial,coal to liquids,coal to liquids,0,0,0,0,0,0,,,,,,10
Southeast Asia,refined liquids industrial,coal to liquids,coal to liquids,0,0,0,0,0,0,,,,,,11
Eastern Europe,refined liquids industrial,coal to liquids,coal to liquids,0,0,0,0,0,0,,,,,,12
Korea,refined liquids industrial,coal to liquids,coal to liquids,0,0,0,0,0,0,,,,,,13
India,refined liquids industrial,coal to liquids,coal to liquids,0,0,0,0,0,0,,,,,,14
,,,,,,,,,,,,,,,
Refined liquids industrial - coefficients,,,,,,,,,,,,,,,
"If a value is zero, set it to a small number",,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,
,,,,,coefficient,,,,,,,,,,
region,supplysector,subsector,technology,minicam-energy-input,1990,2005,,,,,,,,,Region ID
USA,refined liquids industrial,crude oil refining,crude oil refining,regional crude oil,1.069550056,1.039401448,,,,,,,,,1
Canada,refined liquids industrial,crude oil refining,crude oil refining,regional crude oil,1.063911072,1.042152122,,,,,,,,,2
Western Europe,refined liquids industrial,crude oil refining,crude oil refining,regional crude oil,1.044874101,1.048239132,,,,,,,,,3
Japan,refined liquids industrial,crude oil refining,crude oil refining,regional crude oil,1.037419301,1.04665414,,,,,,,,,4
Australia_NZ,refined liquids industrial,crude oil refining,crude oil refining,regional crude oil,1.024805182,1.024907114,,,,,,,,,5
Former Soviet Union,refined liquids industrial,crude oil refining,crude oil refining,regional crude oil,1.126439845,1.10452958,,,,,,,,,6
China,refined liquids industrial,crude oil refining,crude oil refining,regional crude oil,1.066642996,1.056625921,,,,,,,,,7
Middle East,refined liquids industrial,crude oil refining,crude oil refining,regional crude oil,1.049610197,1.079199543,,,,,,,,,8
Africa,refined liquids industrial,crude oil refining,crude oil refining,regional crude oil,1.119371699,1.137242292,,,,,,,,,9
Latin America,refined liquids industrial,crude oil refining,crude oil refining,regional crude oil,1.117132155,1.117489652,,,,,,,,,10
Southeast Asia,refined liquids industrial,crude oil refining,crude oil refining,regional crude oil,1.057421603,1.113850421,,,,,,,,,11
Eastern Europe,refined liquids industrial,crude oil refining,crude oil refining,regional crude oil,1.060273238,1.046780986,,,,,,,,,12
Korea,refined liquids industrial,crude oil refining,crude oil refining,regional crude oil,1.021449033,1.044223512,,,,,,,,,13
India,refined liquids industrial,crude oil refining,crude oil refining,regional crude oil,1.054478857,1.099936946,,,,,,,,,14
USA,refined liquids industrial,crude oil refining,crude oil refining,wholesale gas,0.020816352,0.017181595,,,,,,,,,1
Canada,refined liquids industrial,crude oil refining,crude oil refining,wholesale gas,0.018518148,0.017241379,,,,,,,,,2
Western Europe,refined liquids industrial,crude oil refining,crude oil refining,wholesale gas,0.002080054,0.002835343,,,,,,,,,3
Japan,refined liquids industrial,crude oil refining,crude oil refining,wholesale gas,2.05256E-05,6.17876E-05,,,,,,,,,4
Australia_NZ,refined liquids industrial,crude oil refining,crude oil refining,wholesale gas,0.006178192,0.00464993,,,,,,,,,5
Former Soviet Union,refined liquids industrial,crude oil refining,crude oil refining,wholesale gas,0.001260838,0.000512625,,,,,,,,,6
China,refined liquids industrial,crude oil refining,crude oil refining,wholesale gas,0.001539212,0.003826239,,,,,,,,,7
Middle East,refined liquids industrial,crude oil refining,crude oil refining,wholesale gas,0.037148745,0.057615052,,,,,,,,,8
Africa,refined liquids industrial,crude oil refining,crude oil refining,wholesale gas,0.006673088,0.003748271,,,,,,,,,9
Latin America,refined liquids industrial,crude oil refining,crude oil refining,wholesale gas,0.01410658,0.019455593,,,,,,,,,10
Southeast Asia,refined liquids industrial,crude oil refining,crude oil refining,wholesale gas,0.007735379,0.002546626,,,,,,,,,11
Eastern Europe,refined liquids industrial,crude oil refining,crude oil refining,wholesale gas,0.006987363,0.021474803,,,,,,,,,12
Korea,refined liquids industrial,crude oil refining,crude oil refining,wholesale gas,0.00001,0.00001,,,,,,,,,13
India,refined liquids industrial,crude oil refining,crude oil refining,wholesale gas,0.00001,0.00001,,,,,,,,,14
USA,refined liquids industrial,crude oil refining,crude oil refining,elect_td_ind,0.003709561,0.004533924,,,,,,,,,1
Canada,refined liquids industrial,crude oil refining,crude oil refining,elect_td_ind,0.006489083,0.00581206,,,,,,,,,2
Western Europe,refined liquids industrial,crude oil refining,crude oil refining,elect_td_ind,0.003294746,0.004745874,,,,,,,,,3
Japan,refined liquids industrial,crude oil refining,crude oil refining,elect_td_ind,0.002516595,0.004163502,,,,,,,,,4
Australia_NZ,refined liquids industrial,crude oil refining,crude oil refining,elect_td_ind,0.002718078,0.00369078,,,,,,,,,5
Former Soviet Union,refined liquids industrial,crude oil refining,crude oil refining,elect_td_ind,0.004016581,0.010165982,,,,,,,,,6
China,refined liquids industrial,crude oil refining,crude oil refining,elect_td_ind,0.006494788,0.008332161,,,,,,,,,7
Middle East,refined liquids industrial,crude oil refining,crude oil refining,elect_td_ind,0.007979599,0.008019504,,,,,,,,,8
Africa,refined liquids industrial,crude oil refining,crude oil refining,elect_td_ind,0.000245663,0.00555022,,,,,,,,,9
Latin America,refined liquids industrial,crude oil refining,crude oil refining,elect_td_ind,0.000399434,0.001595078,,,,,,,,,10
Southeast Asia,refined liquids industrial,crude oil refining,crude oil refining,elect_td_ind,0.001576595,0.001770574,,,,,,,,,11
Eastern Europe,refined liquids industrial,crude oil refining,crude oil refining,elect_td_ind,0.003593576,0.005363362,,,,,,,,,12
Korea,refined liquids industrial,crude oil refining,crude oil refining,elect_td_ind,0.00001,0.00001,,,,,,,,,13
India,refined liquids industrial,crude oil refining,crude oil refining,elect_td_ind,0.00001,0.00001,,,,,,,,,14
USA,refined liquids industrial,coal to liquids,coal to liquids,regional coal,1,1,,,,,,,,,1
Canada,refined liquids industrial,coal to liquids,coal to liquids,regional coal,1,1,,,,,,,,,2
Western Europe,refined liquids industrial,coal to liquids,coal to liquids,regional coal,1,1,,,,,,,,,3
Japan,refined liquids industrial,coal to liquids,coal to liquids,regional coal,1,1,,,,,,,,,4
Australia_NZ,refined liquids industrial,coal to liquids,coal to liquids,regional coal,1,1,,,,,,,,,5
Former Soviet Union,refined liquids industrial,coal to liquids,coal to liquids,regional coal,1.373253493,1.068341121,,,,,,,,,6
China,refined liquids industrial,coal to liquids,coal to liquids,regional coal,1,1,,,,,,,,,7
Middle East,refined liquids industrial,coal to liquids,coal to liquids,regional coal,1,1,,,,,,,,,8
Africa,refined liquids industrial,coal to liquids,coal to liquids,regional coal,2.981971843,2.423998554,,,,,,,,,9
Latin America,refined liquids industrial,coal to liquids,coal to liquids,regional coal,1,1,,,,,,,,,10
Southeast Asia,refined liquids industrial,coal to liquids,coal to liquids,regional coal,1,1,,,,,,,,,11
Eastern Europe,refined liquids industrial,coal to liquids,coal to liquids,regional coal,1,1,,,,,,,,,12
Korea,refined liquids industrial,coal to liquids,coal to liquids,regional coal,1,1,,,,,,,,,13
India,refined liquids industrial,coal to liquids,coal to liquids,regional coal,1,1,,,,,,,,,14
